gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts,elite_dna
0,124.4,451.32,320.725,0,7.0
1,107.89,445.47,268.937,-51.79,7.0
2,245.02,385.71,333.038,64.1,8.0
3,279.81,395.4,368.278,35.24,8.0
4,323.36,394.05,353.937,-14.34,7.0
5,243.46,455.42,361.726,7.79,7.0
6,185.15,455.42,362.289,0.56,7.0
7,298.37,425.47,346.113,-16.18,7.0
8,299.06,413.91,354.973,8.86,6.0
9,258.57,480.9,341.086,-13.89,6.0
10,402.24,578.8,464.499,123.41,6.0
11,191.31,435.04,362.898,-101.6,6.0
12,79.24,446.45,315.718,-47.18,6.0
13,297.71,441.85,348.392,32.67,5.0
14,189.27,477.54,277.183,-71.21,4.0
15,178.44,503.13,306.59,29.41,5.0
16,129.86,536.55,314.228,7.64,5.0
17,235.76,346.79,295.254,-18.97,5.0
18,193.28,393.84,338.483,43.23,6.0
19,290.7,442.56,356.386,17.9,6.0
20,182.61,437.54,353.598,-2.79,6.0
21,188.74,437.54,321.311,-32.29,6.0
22,208.51,430.83,344.784,23.47,5.0
23,330.94,404.34,364.241,19.46,5.0
24,190.36,492.62,337.748,-26.49,5.0
25,286.34,501.56,381.025,43.28,5.0
26,235.38,501.73,380.442,-0.58,5.0
27,268.87,441.87,349.253,-31.19,5.0
28,180.94,398.47,316.863,-32.39,5.0
29,179.61,462.4,307.564,-9.3,4.0
30,261.17,505.66,366.58,59.02,5.0
31,200.98,555.01,325.778,-40.8,5.0
32,219.12,505.67,340.235,14.46,5.0
33,253.16,503.49,390.071,49.84,5.0
34,255.63,442.43,355.146,-34.93,5.0
35,338.32,442.43,396.304,41.16,5.0
36,205.95,465.1,304.805,-91.5,5.0
37,194.42,445.39,317.949,13.14,5.0
38,190.34,383.34,302.163,-15.79,5.0
39,181.03,503.68,373.791,71.63,5.0
40,319.17,473.29,419.788,46.0,5.0
41,196.0,445.33,378.786,-41.0,4.0
42,221.49,462.04,392.889,14.1,4.0
43,318.13,424.68,370.984,-21.91,5.0
44,211.02,444.45,315.722,-55.26,4.0
45,319.99,425.76,352.475,36.75,4.0
46,198.8,504.55,298.314,-54.16,4.0
47,253.37,505.09,309.823,11.51,5.0
48,201.76,472.71,373.719,63.9,5.0
49,271.3,505.32,369.971,-3.75,6.0
50,264.37,483.57,372.928,2.96,5.0
51,214.48,558.02,418.943,46.01,5.0
52,325.7,528.62,454.991,36.05,4.0
53,242.69,459.81,360.502,-94.49,4.0
54,198.64,493.74,384.488,23.99,4.0
55,368.59,459.0,407.711,23.22,4.0
56,325.05,459.0,401.256,-6.46,4.0
57,179.13,445.94,368.384,-32.87,4.0
58,0.0,443.13,241.793,-126.59,5.0
59,203.81,296.73,245.453,3.66,8.0
60,302.77,502.7,373.643,128.19,8.0
61,222.93,575.63,367.011,-6.63,7.0
62,275.3,486.05,352.464,-14.55,7.0
63,175.0,426.79,317.983,-34.48,8.0
64,173.55,351.41,292.503,-25.48,8.0
65,180.06,573.33,345.524,53.02,8.0
66,170.5,522.78,329.857,-15.67,9.0
67,184.96,457.32,334.092,4.23,8.0
68,238.87,527.53,378.667,44.57,8.0
69,175.75,475.1,317.282,-61.38,8.0
70,201.43,475.66,345.017,27.74,8.0
71,202.21,567.01,370.544,25.53,7.0
72,259.34,468.58,365.039,-5.5,7.0
73,177.64,484.36,360.573,-4.47,7.0
74,329.11,531.24,430.85,70.28,8.0
75,274.14,494.74,384.586,-46.26,8.0
76,408.06,482.53,431.82,47.23,8.0
77,377.0,456.72,406.527,-25.29,8.0
78,393.05,543.99,461.573,55.05,9.0
79,381.96,476.0,443.763,-17.81,10.0
80,324.29,458.19,384.364,-59.4,10.0
81,340.37,506.18,420.653,36.29,10.0
82,325.35,503.37,390.761,-29.89,10.0
83,180.33,532.31,371.967,-18.79,10.0
84,220.99,532.31,358.171,-13.8,9.0
85,208.23,346.61,278.41,-79.76,9.0
86,215.12,394.16,337.464,59.05,10.0
87,177.82,419.43,334.584,-2.88,10.0
88,265.47,462.53,367.132,32.55,10.0
89,299.88,515.12,360.951,-6.18,10.0
90,173.21,506.54,344.256,-16.7,11.0
91,165.71,334.79,283.618,-60.64,11.0
92,254.87,444.89,353.25,69.63,11.0
93,175.24,528.77,338.25,-15.0,11.0
94,227.21,447.02,344.086,5.84,10.0
95,267.77,511.72,435.507,91.42,9.0
96,318.09,466.6,395.811,-39.7,8.0
97,317.58,383.23,342.173,-53.64,8.0
98,173.25,404.01,251.22,-90.95,7.0
99,171.14,466.36,305.378,54.16,7.0
