gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
139,87.21,806.95,441.884,26.05,9.0
140,138.28,598.94,408.603,-33.28,9.0
141,221.24,648.64,395.927,-12.68,9.0
142,286.29,764.66,450.201,54.27,9.0
143,243.43,675.03,419.192,-31.01,9.0
144,182.66,675.03,422.911,3.72,9.0
145,107.78,841.42,502.124,79.21,9.0
146,158.3,862.21,489.826,-12.3,9.0
147,295.9,676.87,441.002,-48.82,10.0
148,218.64,726.84,498.551,57.55,10.0
149,220.33,847.86,538.37,39.82,10.0
150,155.34,723.38,452.609,-85.76,11.0
151,163.4,723.38,474.069,21.46,11.0
152,215.77,858.59,534.217,60.15,11.0
153,144.1,1119.19,508.463,-25.75,11.0
154,95.56,932.75,428.852,-79.61,11.0
155,89.2,932.75,499.874,71.02,11.0
156,177.4,932.75,477.652,-22.22,11.0
157,219.53,932.75,440.75,-36.9,11.0
158,168.0,932.75,472.236,31.49,11.0
159,243.22,932.75,477.485,5.25,11.0
160,165.91,932.75,460.036,-17.45,11.0
161,85.07,932.75,434.179,-25.86,11.0
162,221.18,932.75,485.805,51.63,12.0
163,380.79,932.75,549.356,63.55,12.0
164,47.21,932.75,507.85,-41.51,12.0
165,75.7,932.75,542.83,34.98,12.0
166,187.48,934.64,531.981,-10.85,12.0
167,177.72,1018.43,536.702,4.72,12.0
168,146.06,700.18,427.95,-108.75,12.0
169,93.58,695.39,455.648,27.7,12.0
170,120.55,806.3,430.725,-24.92,12.0
171,251.5,986.04,538.084,107.36,12.0
172,177.81,1086.34,542.061,3.98,12.0
173,335.33,1080.69,508.78,-33.28,12.0
174,130.53,1070.97,555.712,46.93,12.0
175,111.32,1070.97,536.989,-18.72,12.0
176,106.36,1070.97,551.831,14.84,12.0
177,77.02,1070.97,501.179,-50.65,12.0
178,292.6,1124.5,618.596,117.42,12.0
179,128.01,903.49,559.574,-59.02,11.0
180,221.34,903.49,499.061,-60.51,11.0
181,427.3,903.49,545.317,46.26,11.0
182,280.36,929.74,561.062,15.75,11.0
183,212.49,732.8,497.415,-63.65,12.0
184,214.41,844.89,487.205,-10.21,12.0
185,111.22,844.89,522.741,35.54,11.0
186,174.0,844.89,523.032,0.29,11.0
187,242.93,844.89,506.437,-16.6,10.0
188,314.33,844.89,558.742,52.3,10.0
189,246.56,844.89,523.693,-35.05,9.0
190,72.01,990.77,475.27,-48.42,10.0
191,277.35,945.13,516.41,41.14,9.0
192,274.55,882.53,498.659,-17.75,10.0
193,75.32,882.53,478.543,-20.12,9.0
194,198.77,882.53,508.6,30.06,9.0
195,185.96,882.53,460.166,-48.43,8.0
196,238.84,882.53,477.83,17.66,8.0
197,143.89,882.53,424.122,-53.71,8.0
198,225.08,882.53,431.661,7.54,8.0
199,103.08,882.53,401.799,-29.86,9.0
